YEAR,YEAR_STRATUM,GRADE,n,kendall,spearman,content
2024,primary,4,9205,0.5394,0.7335,MATHEMATICS
2024,primary,5,7697,0.4642,0.6463,MATHEMATICS
2024,primary,6,6915,0.4667,0.651,MATHEMATICS
2024,primary,7,6792,0.4338,0.6149,MATHEMATICS
2024,primary,8,6822,0.4197,0.5964,MATHEMATICS
2025,primary,3,9822,0.521,0.7112,MATHEMATICS
2025,primary,4,9183,0.5098,0.6989,MATHEMATICS
2025,primary,5,8079,0.4519,0.6344,MATHEMATICS
2025,primary,6,6926,0.4565,0.6391,MATHEMATICS
2025,primary,7,7409,0.445,0.6252,MATHEMATICS
2025,primary,8,7150,0.4185,0.5921,MATHEMATICS
2026,ilearn_2026,3,10085,0.4969,0.6823,MATHEMATICS
2026,ilearn_2026,4,8513,0.4787,0.6609,MATHEMATICS
2026,ilearn_2026,5,7417,0.4082,0.5771,MATHEMATICS
2026,ilearn_2026,6,6654,0.4174,0.5921,MATHEMATICS
2026,ilearn_2026,7,6851,0.3844,0.5494,MATHEMATICS
2026,ilearn_2026,8,7109,0.399,0.5682,MATHEMATICS
